pcode,title,teacherEmail,year
22.106.YLL_.BI,Investigating Gal-3 rs4644 Single Nucleotide Polymorphisms On Cav-1.2 Calcium Channels in Hypertension,nhshs@nushigh.edu.sg,2023
22.107.NUSG.CS,Interpreting and Evading Visualization-Based Deep Learning Malware Classifiers,nhscesc@nushigh.edu.sg,2023
22.109.NUSC.CM,Purifying nanoplastic-contaminated water with functionalised cellulose extracted from lychee peels,nhsmk@nushigh.edu.sg,2023
22.113.NUSH.MA,Exploring the Maximum Area of Triangles Inscribed in Various Conic Sections,nhsjz@nushigh.edu.sg,2023
22.114.NUSH.MA,Exploring the Maximum Volume or Total Surface Area of Polyhedra inscribed in a Sphere,nhsjz@nushigh.edu.sg,2023
22.115.NUSH.MA,Chromatic Number of Graph Powers,nhslcl@nushigh.edu.sg,2023
22.123.BII_.CM,Deep Learning Model for the Prediction of Antimicrobial Agents,nhscmh@nushigh.edu.sg,2023
22.124.NTU_.PH,Interactions between Vortex Rings and Solid Boundaries,nhscs@nushigh.edu.sg,2023
22.125.NUSE.CM,Self-healing of concrete containing recycled concrete aggregate,nhssy@nushigh.edu.sg,2023
22.129.NUSA.CM,Synthesis of Peptide Nanomaterials via Controlled Self-Assmebly,nhssn@nushigh.edu.sg,2023
22.133.NUSB.BI,Novel primary data collection and classification of microplastics in coastal waters of Singapore for research usage,nhscjnr@nushigh.edu.sg,2023
22.134.LKCS.BI,Tuning T-lymphocytes to improve wound healing,nhscjnr@nushigh.edu.sg,2023
22.135.IHPC.BI,Effect of different genres of music on food perception,nhsnoh@nushigh.edu.sg,2023
22.137.DIGI.CS,LEDA: A Lightweight Game Engine using C++ Component-Based Techniques,nhscsp@nushigh.edu.sg,2023
22.140.NUSC.CM,The Effect of Different Storage Conditions on Fruit Peels for the Green Synthesis of Silver Nanoparticles,nhsfssf@nushigh.edu.sg,2023
22.141.NUSH.CS,longest simple path with Machine Learning,nhsncl@nushigh.edu.sg,2023
22.142.NUSH.CS,Deep Equilibrium BERT,nhscesc@nushigh.edu.sg,2023
22.144.NUSB.RE,Ecological footprint of industrial vs smallholder oil palm plantations,anhsczm@nushigh.edu.sg,2023
22.155.IMCB.BI,Developing an Optogenetic O-GlcNAc Transferase for Single Protein O-GlcNAcylation in Cells,nhsmjjp@nushigh.edu.sg,2023
22.157.NUSH.BI,Human Disturbances and its Effects on Bird Diversity in Lakeside Garden,nhscs@nushigh.edu.sg,2023
23.001.NUSH.MA,Dungeons and Dragons Inspired Cantrip Knockout Prediction: Error-minimising numerical investigative system,nhscmh@nushigh.edu.sg,2023
23.006.NUSH.RE,Image Capture System for a Nanosatellite,nhsaj@nushigh.edu.sg,2023
23.007.NUSH.CS,"Low Dose, High Accuracy: Using Deep Learning to Enhance 3D Tomography",nhsncl@nushigh.edu.sg,2023
23.009.TLL_.BI,Analysis Of callus Growth of Various Species of Plants in Mediums with Cytokinins and Auxins under Differing Light Conditions,nhslimtc@nushigh.edu.sg,2023
23.010.SIT_.CS,Detecting Malware Samples using a Novel Feature Vector and Deep Learning Methods,nhsld@nushigh.edu.sg,2023
23.011.SGH_.CS,Deep learning model for the diagnosis of exudative pharyngitis,nhscsp@nushigh.edu.sg,2023
23.012.NUSB.BI,Heterologous Expression of Avicennia Officinalis Cation-Chloride Cotransporter (CCC1) In Arabidopsis and Yeast and It’s Role in the Regulation Of Salt Tolerance,nhshs@nushigh.edu.sg,2023
23.013.NUSH.RE,A Cost-Effective and Accessible Construction of Ground Station for CubeSat Applications,nhsaj@nushigh.edu.sg,2023
23.015.NUSB.BI,Hunting for Bacteriophages,nhshs@nushigh.edu.sg,2023
23.016.NUSH.MA,On the Application of Inequalities Containing Sums of Minimum/Maximum of Numbers,nhswh@nushigh.edu.sg,2023
23.017.NUSH.PH,On the Vibroacoustic Modelling of Tensioned Elastic Membranes in a Pressurised Air Cavity,nhslyh@nushigh.edu.sg,2023
23.018.NUSH.CS,Analysing Gait Patterns of Parkinson's Disease patients to predict Freezing of Gait (FoG) using Machine Learning Algorithms,nhslimtc@nushigh.edu.sg,2023
23.019.NUSH.PH,Three Dimensional Modelling of the Maximum Fluid Load on a Horizontally Rotating Cylinder,nhsbrw@nushigh.edu.sg,2023
23.020.NUSH.PH,Numerical Simulation of Small Floating Particles on a Fluid Surface under the Influence of a Magnetic Field,nhsbrw@nushigh.edu.sg,2023
23.021.NUSH.PH,Theoretical and Experimental Analysis into the Accuracy of the Rayleigh Disk,nhstags@nushigh.edu.sg,2023
23.031.IMCB.RE,"Active matter cytometry for high-resolution sizing, sorting of zerbrafish larvae",nhscs@nushigh.edu.sg,2023
